business_description,domain_names,complexity
premium cafe,"['premiumcafestudio.com', 'premiumcafespot.org', 'premiumcafestore.com']",simple
organic restaurant in downtown,"['organicrestaurantsolutions.co', 'organicrestaurantlab.co', 'organicrestauranthub.com']",medium
premium bookstore,"['premiumbookstorestore.org', 'premiumbookstoresolutions.io', 'premiumbookstorehub.org']",simple
eco-friendly online store,"['onlestore.co', 'onlebeans.net', 'onlestore.co']",simple
global cafe,"['globalcafeworks.io', 'globalcafespot.net', 'globalcafeworks.co']",simple
cozy restaurant in downtown,"['cozyrestaurantworks.net', 'cozyrestaurantlab.co', 'cozyrestauranthub.net']",medium
smart online store in city center,"['smartonlehub.com', 'smartonlestudio.io', 'smartonlehub.org']",medium
innovative cafe,"['novativecafebeans.io', 'novativecafeshop.org', 'novativecafecorner.net']",simple
fresh educational platform in suburban area,"['fresheducationalstudio.org', 'fresheducationalworks.io', 'fresheducationalhub.net']",medium
global online store in suburban area,"['globalonleworks.io', 'globalonlecorner.net', 'globalonlecorner.net']",medium
cozy solutions clothing boutique in near the river offering premium services,"['cozysolutionsshop.net', 'cozysolutionscorner.io', 'cozysolutionsbeans.net']",complex
fresh tech startup,"['freshtechlab.io', 'freshtechstore.org', 'freshtechlab.co']",simple
cozy corner restaurant in city center specializing in community events,"['cozycornerstudio.net', 'cozycornerstore.co', 'cozycornerhub.io']",complex
modern beans clothing boutique in city center offering premium services,"['modernbeanssolutions.co', 'modernbeansworks.io', 'modernbeansspot.io']",complex
bright bookstore,"['brightbookstoresolutions.org', 'brightbookstoreworks.co', 'brightbookstorestore.co']",simple
modern store educational platform in city center for busy professionals,"['modernstorespot.org', 'modernstoreworks.com', 'modernstorestore.co']",complex
fresh law firm in suburban area,"['freshlawworks.org', 'freshlawworks.io', 'freshlawworks.com']",medium
premium fitness studio in city center,"['premiumfitnessspot.com', 'premiumfitnessshop.org', 'premiumfitnesslab.net']",medium
eco-friendly educational platform in city center,"['educationalspot.co', 'educationalcorner.io', 'educationalsolutions.co']",medium
smart law firm in downtown,"['smartlawhub.io', 'smartlawbeans.org', 'smartlawstore.org']",medium
premium store travel agency in city center with focus on sustainability,"['premiumstorecorner.io', 'premiumstoreworks.co', 'premiumstorestore.org']",complex
smart online store,"['smartonlecorner.co', 'smartonlehub.io', 'smartonleworks.com']",simple
smart fitness studio in neighborhood,"['smartfitnessworks.com', 'smartfitnessstore.net', 'smartfitnessbeans.net']",medium
modern corner fitness studio in city center for busy professionals,"['moderncornerhub.org', 'moderncornerlab.net', 'moderncornerworks.org']",complex
innovative works law firm in near the river specializing in community events,"['novativeworksspot.org', 'novativeworksspot.io', 'novativeworksstudio.io']",complex
global bookstore in city center,"['globalbookstorestudio.com', 'globalbookstoreshop.io', 'globalbookstorestudio.co']",medium
smart restaurant,"['smartrestaurantworks.io', 'smartrestaurantcorner.com', 'smartrestaurantshop.net']",simple
global educational platform in neighborhood,"['globaleducationalstore.com', 'globaleducationalstudio.co', 'globaleducationalworks.org']",medium
bright bookstore,"['brightbookstoreshop.co', 'brightbookstoreshop.com', 'brightbookstorecorner.co']",simple
fresh law firm,"['freshlawsolutions.net', 'freshlawbeans.net', 'freshlawcorner.co']",simple
eco-friendly clothing boutique,"['clothgcorner.com', 'clothgshop.org', 'clothgsolutions.io']",simple
smart bookstore in downtown,"['smartbookstorebeans.com', 'smartbookstorespot.com', 'smartbookstorestudio.org']",medium
premium clothing boutique in neighborhood,"['premiumclothgstore.co', 'premiumclothgstudio.com', 'premiumclothgcorner.co']",medium
very short,"['veryshortworks.org', 'veryshortworks.co', 'veryshortstudio.io']",complex
modern fitness studio,"['modernfitnessspot.net', 'modernfitnessspot.org', 'modernfitnesssolutions.com']",simple
fresh bookstore,"['freshbookstorelab.co', 'freshbookstoreworks.co', 'freshbookstorecorner.co']",simple
fresh bookstore in city center,"['freshbookstorebeans.com', 'freshbookstorespot.org', 'freshbookstoreshop.net']",medium
fresh law firm in neighborhood,"['freshlawcorner.net', 'freshlawstore.org', 'freshlawstore.co']",medium
innovative tech startup in neighborhood,"['novativetechstore.com', 'novativetechlab.org', 'novativetechworks.io']",medium
eco-friendly shop restaurant in city center for busy professionals,"['shoplab.com', 'shopstore.org', 'shophub.org']",complex
fresh online store,"['freshonlesolutions.co', 'freshonlespot.io', 'freshonlelab.org']",simple
fresh works fitness studio in downtown area with focus on sustainability,"['freshworksbeans.co', 'freshworksspot.net', 'freshworkscorner.org']",complex
