business_description,domain_name,relevance,diversity,originality
global sphere software company in neighborhood with focus on sustainability,globalspherehub.org,.5,0,.2
global sphere software company in neighborhood with focus on sustainability,globalspherehub.io,.5,0,.2
global sphere software company in neighborhood with focus on sustainability,globalspherehub.net,.5,0,.2
ethereal clothing boutique,etherealclothgstore.org,.7,.1,.4
ethereal clothing boutique,etherealclothgspot.net,.6,.1,.8
ethereal clothing boutique,etherealclothgworks.net,.6,.1,.4
smart online store,smartonlesolutions.net,.4,.2,.2
smart online store,smartonlestudio.com,.5,.2,.2
smart online store,smartonlehub.com,.6,.2,.2
bright coffee shop in neighborhood,brightcoffeehub.org,.5,.2,.2
bright coffee shop in neighborhood,brightcoffeehub.co,.5,.2,.2
bright coffee shop in neighborhood,brightcoffeesolutions.net,.5,.2,.4
dynamic pet store,dynamicpetstoreworks.org,.4,0,0
dynamic pet store,dynamicpetstorelab.org,.4,0,0
dynamic pet store,dynamicpetstorelab.com,.4,0,0
