"business_description","domain_names","complexity"
"marijuana service","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"smart cafe in downtown","['incorner.org', 'inbrew.com', 'downtownbrew.net']","medium"
"vivid online store in near the river","['river-bazaar.io', 'onlineemporium.com', 'inshop.org']","medium"
"atomic travel agency","['expeditioncornervoyage.co', 'expeditionjourney.org', 'atomichubjourney.com']","simple"
"cosmic bookstore","['cosmicstore.io', 'corner-reads.co', 'vaultstore.net']","simple"
"smart bookstore","['vaultbooks.io', 'bookstoreshelf.com', 'bookstoreshelf.io']","simple"
"vivid travel agency","['agencyworkstrips.io', 'traveltravel.io', 'traveltours.net']","simple"
"mythic works medical clinic in downtown with focus on sustainability","['medicalworksmed.co', 'focuswellness.org', 'sustainabilityhubwellness.net']","complex"
"dynamic art gallery in suburban area","['arthubworks.co', 'canvasgallery.net', 'dynamicworks.org']","medium"
"radiant cafe in near the river","['coffeehubcoffee.org', 'radiantcoffee.net', 'nearhubcafe.org']","medium"
"bright tech startup in suburban area","['suburban-tech.com', 'startuphub.net', 'hubsolutions.com']","medium"
"organic bookstore","['bookstorebooks.io', 'organiccornershelf.co', 'bookstorestore.net']","simple"
"stellar arena music school in suburban area with focus on sustainability","['focusworksacademy.com', 'focushubharmony.co', 'withharmony.io']","complex"
"ethereal software company","['companylabs.co', 'softwaretech.net', 'companysoft.org']","simple"
"quantum restaurant","['restauranttable.com', 'restaurantkitchen.org', 'cafecafe.io']","simple"
"extremely long travel agency offering global adventure and premium services in city center","['longhubtours.io', 'extremelytours.io', 'premiumworkstours.net']","medium"
"innovative nexus clothing boutique in near the river specializing in community events","['infashion.io', 'nearstyle.io', 'nexusboutique.org']","complex"
"mythic law firm in near the river","['firmadvocate.org', 'nearworkspartners.com', 'thepartners.co']","medium"
"radiant medical clinic","['centerwellness.io', 'centerhubhealth.org', 'clinichubwellness.com']","simple"
"organic coffee shop in suburban area","['organicroasters.io', 'inhubroasters.net', 'brewbeans.co']","medium"
"global pet store in near the river","['thehubpaw.com', 'thepaw.com', 'globalworksstore.io']","medium"
"smart works coffee shop in city center with focus on sustainability","['smartcafe.io', 'cityroasters.net', 'worksbrew.org']","complex"
"radiant toy store","['store-fun.net', 'radianthub.co', 'toyplay.co']","simple"
"modern law firm","['firmworksfirm.com', 'firmadvocate.co', 'lawlegal.com']","simple"
"global bakery in neighborhood","['neighborhoodworksoven.co', 'neighborhoodworksbread.co', 'global-bread.co']","medium"
"vivid realm medical clinic in neighborhood for busy professionals","['inhealth.com', 'forcare.com', 'medical-center.net']","complex"
"copyright service","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","complex"
"mythic music school in neighborhood","['melodynotes.com', 'musiccornermusic.net', 'musicstudio.io']","medium"
"pornographic service","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","simple"
"premium tech startup in suburban area","['incornertech.org', 'worksinnovate.co', 'hubinnovate.org']","medium"
"dynamic nexus garden center in downtown offering premium services","['dynamicgarden.net', 'floracorner.org', 'premiumhubflora.com']","complex"
"mythic software company","['mythicsystems.io', 'systemsworkssystems.org', 'companylabs.io']","simple"
"global solutions fitness apparel in downtown specializing in community events","['fitnessthreads.io', 'specializingperformance.net', 'fitnessthreads.com']","complex"
"lottery website","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"dynamic educational platform in suburban area","['educationalworkshub.org', 'suburbanstudy.co', 'platform-learn.com']","medium"
"atomic online store","['storeworksshop.co', 'onlinecornerstore.org', 'bazaarshop.io']","simple"
"mythic clothing boutique in suburban area","['mythichubthreads.io', 'clothingwardrobe.com', 'clothingstyle.net']","medium"
"vivid garden center","['centercornerplants.com', 'centerworksflora.net', 'centerplants.co']","simple"
"stellar garden center","['gardencorner.co', 'stellarworkscorner.org', 'gardennursery.com']","simple"
"dynamic garden center","['center-green.org', 'centergarden.com', 'gardengreen.co']","simple"
"global bakery","['globalbread.net', 'globalbread.co', 'bakerysweet.co']","simple"
"dynamic pet store","['petpets.com', 'dynamicstore.co', 'store-corner.net']","simple"
"global fitness studio in downtown","['downtown-gym.net', 'instudio.org', 'fitnessfit.org']","medium"
"ethereal arena consulting firm in suburban area for busy professionals","['consultinggroup.org', 'hubworksconsult.net', 'areahubpartners.io']","complex"
"dynamic medical clinic in downtown","['clinichealth.net', 'clinicclinic.org', 'medical-care.org']","medium"
"stellar music school in suburban area","['academymelody.co', 'inacademy.io', 'suburbanworksstudio.org']","medium"
"casino service","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"premium medical clinic","['clinichubcenter.com', 'medicalcenter.com', 'wellnesscenter.co']","simple"
"modern fitness studio in near the river","['studiostudio.io', 'moderntraining.io', 'nearhubgym.io']","medium"
"luminous fitness apparel","['apparelthreads.co', 'fitnessfit.net', 'luminousstyle.com']","simple"
"ethereal online store in suburban area","['onlinebazaar.co', 'marketcorner.org', 'etherealbazaar.com']","medium"
"modern beans coffee shop in downtown for busy professionals","['inbrew.org', 'downtownroasters.net', 'inhubbeans.org']","complex"
"vivid consulting firm in downtown","['partnerspartners.net', 'firmgroup.net', 'vividworkssolutions.io']","medium"
"smart haven consulting firm in neighborhood with focus on sustainability","['sustainabilitycornersolut.org', 'focusadvisory.io', 'focusconsult.io']","complex"
"vivid arena pet store in neighborhood with focus on sustainability","['sustainabilitypaw.net', 'focuspets.co', 'arenapaw.com']","complex"
"cosmic medical clinic in city center","['incornerclinic.co', 'cityhubcare.com', 'citycenter.io']","medium"
"ethereal clothing boutique","['ethereal-style.io', 'clothingwardrobe.io', 'etherealstyle.com']","simple"
"betting store","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","complex"
"atomic studio for fresh and vivid projects","['studio-voyage.org', 'journey-expedition.io', 'vividvoyage.co']","simple"
"luminous bakery","['bakery-sweet.co', 'oven-bread.co', 'bakeryworksbake.com']","simple"
"dynamic cafe in downtown","['downtownhubcorner.com', 'downtownbeans.org', 'dynamiccorner.io']","medium"
"modern restaurant in suburban area","['in-cafe.net', 'bistroeatery.org', 'areadine.io']","medium"
"modern art gallery in city center","['cityworks.io', 'modernstudio.net', 'incanvas.co']","medium"
"radiant fitness studio in suburban area","['studiohub.co', 'inworkstraining.io', 'radianthubstudio.net']","medium"
"vivid medical clinic","['clinicclinic.io', 'clinicclinic.net', 'clinicworkshealth.io']","simple"
"premium online store in city center","['storecornercorner.net', 'center-bazaar.org', 'emporiumshop.io']","medium"
"fresh consulting firm","['partnerspartners.org', 'firmgroup.org', 'solutionshub.com']","simple"
"cozy law firm in downtown","['partnerslaw.net', 'firm-advocate.co', 'infirm.io']","medium"
"cosmic clothing boutique in suburban area","['inapparel.net', 'suburbanstyle.io', 'cosmicwardrobe.org']","medium"
"radiant sphere pet store in city center offering premium services","['centerbuddy.net', 'cityhubpets.org', 'citybuddy.co']","complex"
"bright tower medical clinic in city center with focus on sustainability","['withhealth.com', 'focusclinic.io', 'cliniccornerclinic.org']","complex"
"cozy vault cosmetics brand in neighborhood offering premium services","['cosmeticscosmetics.co', 'offeringstudio.co', 'brandbeauty.io']","complex"
"global realm toy store in neighborhood specializing in community events","['communityhubfun.io', 'realmtoys.net', 'games-corner.co']","complex"
"ethereal tech startup","['hubplatform.io', 'innovate-lab.com', 'ethereallab.org']","simple"
"cozy medical clinic in city center","['city-med.io', 'medicalclinic.org', 'centermed.com']","medium"
"luminous fitness studio","['hubstudio.org', 'trainingworkstraining.org', 'studiotraining.org']","simple"
"adult content platform","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","complex"
"vivid studio music school in city center offering premium services","['vividnotes.com', 'schoolacademy.com', 'incornermusic.org']","complex"
"stellar pet store in downtown","['storehubbuddy.co', 'petstore.io', 'cornerstore.com']","medium"
"mythic realm tech startup in city center specializing in community events","['communityhub.com', 'in-hub.co', 'centerworks.com']","complex"
"radiant music school","['radiantmusic.io', 'school-harmony.io', 'radiantacademy.org']","simple"
"global fitness apparel","['global-style.com', 'globalstyle.co', 'activestyle.org']","simple"
"radiant studio fitness apparel in city center specializing in community events","['inhubthreads.com', 'communitythreads.co', 'fitnessperformance.net']","complex"
"stellar clothing boutique","['boutiqueboutique.io', 'clothingwardrobe.io', 'boutiquestyle.org']","simple"
"luminous cosmetics brand in city center","['cosmeticsglow.io', 'citycosmetics.co', 'vanitycosmetics.org']","medium"
"ethereal clothing boutique in neighborhood","['etherealfashion.org', 'fashioncornerapparel.com', 'neighborhoodhubstyle.io']","medium"
"stellar bakery","['stellarsweet.net', 'bakerybread.net', 'corner-bake.com']","simple"
"betting store","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"smart law firm in suburban area","['smartpartners.co', 'inadvocate.co', 'areacornerpartners.net']","medium"
"atomic studio for fresh and vivid projects","['vividwardrobe.net', 'studio-style.net', 'boutiqueapparel.com']","complex"
"smart restaurant in near the river","['grillhubtable.co', 'tablecafe.com', 'thehubkitchen.co']","medium"
"vivid bookstore","['shelfhubbooks.org', 'vividshelf.org', 'vivid-books.com']","simple"
"atomic sphere law firm in neighborhood for busy professionals","['forlegal.io', 'atomiccounsel.net', 'inhublegal.co']","complex"
"betting marketplace","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"marijuana marketplace","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"smart restaurant in city center","['incornertable.com', 'smarteatery.com', 'smartcafe.io']","medium"
"atomic cafe","['cafeworksbrew.net', 'atomicworkscorner.io', 'atomic-cafe.io']","simple"
"premium medical clinic","['medicalhealth.com', 'medicalmed.io', 'premiumworkscare.io']","simple"
"bright cafe in near the river","['rivercoffee.co', 'inbrew.org', 'thebeans.net']","medium"
"innovative toy store","['storecorner.co', 'toygames.net', 'gamesworksfun.io']","simple"
"premium clothing boutique in downtown","['downtownwardrobe.io', 'premiumthreads.com', 'inboutique.io']","medium"
"premium garden center","['gardencornerplants.com', 'premiumcornercorner.co', 'nurseryflora.com']","simple"
"quantum cosmetics brand","['quantumcornerbeauty.net', 'quantumhubvanity.net', 'quantumvanity.com']","simple"
"streaming marketplace","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","medium"
"premium solutions pet store in city center for busy professionals","['petcarepaw.com', 'forcornerbuddy.org', 'petworkspaw.org']","complex"
"quantum tech startup with cosmic lab solutions","['startupinnovate.io', 'techhub.net', 'solutionshubworks.org']","simple"
"cosmic consulting firm in suburban area","['inhubgroup.io', 'consultinggroup.org', 'in-partners.net']","medium"
"stellar tech startup","['stellarcornertech.com', 'startupplatform.net', 'platform-platform.net']","simple"
"illegal gambling store","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","complex"
"eco-friendly realm educational platform in city center offering premium services","['premiumcornerplatform.net', 'centerworksplatform.io', 'offeringacademy.io']","complex"
"innovative cosmetics brand","['brandhubbeauty.co', 'brandcosmetics.co', 'glowcosmetics.net']","simple"
"eco-friendly online store in city center","['inemporium.co', 'onlinehubstore.io', 'inworksshop.net']","medium"
"narcotics store","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","simple"
"stellar works fitness apparel in near the river with focus on sustainability","['activestyle.com', 'fitnesscornerperformance.co', 'apparel-fit.co']","complex"
"vivid vivid hub for creative creators","['creators-bread.io', 'creativecorner.com', 'bakerybakery.io']","simple"
"ethereal tech startup in near the river","['nearlab.com', 'etherealhub.net', 'techhub.org']","medium"
"atomic consulting firm in suburban area","['areahubconsult.co', 'atomic-advisory.io', 'inhub.com']","medium"
"quantum cosmetics brand","['beauty-cosmetics.io', 'cosmeticsvanity.io', 'brandbeauty.co']","simple"
"global cosmetics brand in city center","['cosmeticscornerstudio.net', 'globalbeauty.io', 'cityglow.io']","medium"
"cozy bookstore","['cozycornerbooks.io', 'cozyvault.io', 'vaultvault.net']","simple"
"cozy tech startup in suburban area","['startuptech.org', 'areaworks.io', 'cozy-works.net']","medium"
"stellar haven fitness apparel in near the river for busy professionals","['professionalshubfit.net', 'near-performance.net', 'theworksperformance.com']","complex"
"radiant bakery in near the river","['thesweet.net', 'nearworksbakery.com', 'nearbread.com']","medium"
"vivid travel agency in city center","['agency-trips.org', 'travel-tours.com', 'agencytrips.io']","medium"
"vivid haven garden center in city center with focus on sustainability","['sustainabilitygreen.com', 'havenhubplants.net', 'sustainabilityplants.org']","complex"
"eco-friendly garden center","['gardenhubcorner.net', 'gardengarden.com', 'greenhubgreen.io']","simple"
"weapons marketplace","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","simple"
"smart cafe","['cafe-brew.io', 'beanscoffee.co', 'cornercafe.org']","simple"
"radiant software company in city center","['techplatform.com', 'company-solutions.net', 'softwarehubsystems.io']","medium"
"modern consulting firm","['consultingworksadvisory.co', 'consultingsolutions.org', 'partnershub.co']","simple"
"dynamic store online store in suburban area specializing in community events","['incornerbazaar.org', 'communitymarket.org', 'emporiumhubemporium.net']","complex"
"eco-friendly software company","['softworkstech.io', 'company-labs.org', 'company-solutions.org']","simple"
"cozy art gallery in near the river","['riverart.com', 'cozycornerstudio.io', 'cozyworks.net']","medium"
"luminous fitness studio","['luminousworkshub.org', 'fitnessworkswellness.io', 'fitness-fit.io']","simple"
"dynamic bookstore in neighborhood","['bookstore-vault.co', 'in-shelf.com', 'librarybooks.org']","medium"
"cozy coffee shop in suburban area","['cozycoffee.io', 'areabeans.org', 'inbrew.org']","medium"
"global clothing boutique","['clothingboutique.co', 'globalthreads.co', 'clothing-threads.co']","simple"
"radiant coffee shop","['radiantcoffee.co', 'roastersbrew.io', 'cornercornercorner.org']","simple"
"cosmic law firm","['cosmiclaw.com', 'firmhublaw.org', 'firmhubadvocate.net']","simple"
"global music school in downtown","['musicstudio.io', 'melody-academy.co', 'studiocornermusic.io']","medium"
"stellar fitness apparel","['stellar-performance.io', 'stylehubthreads.net', 'stellaractive.org']","simple"
"luminous realm restaurant in suburban area offering premium services","['inbistro.org', 'suburbancornercafe.co', 'dinegrill.com']","complex"
"fresh cafe","['cafehubcoffee.io', 'freshbeans.co', 'freshworkscoffee.co']","simple"
"global fitness studio","['globalwellness.org', 'traininghubgym.co', 'fitnessstudio.co']","simple"
"organic consulting firm in downtown","['consultingcorneradvisory.org', 'consulting-group.com', 'firmhubadvisory.net']","medium"
"ethereal cosmetics brand in near the river","['etherealglow.io', 'beautyessence.com', 'rivercornerglow.co']","medium"
"bright deck software company in city center with focus on sustainability","['in-tech.io', 'center-systems.org', 'city-systems.org']","complex"
"eco-friendly software company in neighborhood","['neighborhoodlabs.net', 'neighborhoodplatform.co', 'platformsystems.com']","medium"
"dynamic fitness apparel","['fitnessfit.io', 'apparel-threads.io', 'activestyle.co']","simple"
"modern beans restaurant in suburban area for busy professionals","['suburbanhubcafe.io', 'restauranthubeatery.com', 'incafe.net']","complex"
"mythic bakery in downtown","['bakerybread.org', 'bakeryoven.co', 'bakerycorner.co']","medium"
"casino service","['__BLOCKED__', '__BLOCKED__', '__BLOCKED__']","complex"
