business_description,domain_name,complexity,relevance,diversity,originality,overall_score
global sphere software company in neighborhood with focus on sustainability,globalspherehub.org,complex,0.5540032386779785,0.07101282477378845,0.8181818181818181,0.4810659655115821
global sphere software company in neighborhood with focus on sustainability,globalspherehub.io,complex,0.49687230587005615,0.07101282477378845,0.8181818181818181,0.46202232620932837
global sphere software company in neighborhood with focus on sustainability,globalspherehub.net,complex,0.5220192670822144,0.07101282477378845,0.8181818181818181,0.4704046466133811
ethereal clothing boutique,etherealclothgstore.org,simple,0.7074393033981323,0.10711199045181274,0.8333333333333334,0.5492948757277595
ethereal clothing boutique,etherealclothgspot.net,simple,0.64784836769104,0.10711199045181274,0.8333333333333334,0.5294312404261695
ethereal clothing boutique,etherealclothgworks.net,simple,0.6820300817489624,0.10711199045181274,0.8333333333333334,0.5408251451121436
smart online store,smartonlesolutions.net,simple,0.4817492365837097,0.2687583863735199,0.8333333333333334,0.5279469953642951
smart online store,smartonlestudio.com,simple,0.568024754524231,0.2687583863735199,0.8333333333333334,0.5567054914103614
smart online store,smartonlehub.com,simple,0.6553657054901123,0.2687583863735199,0.8333333333333334,0.5858191417323219
bright coffee shop in neighborhood,brightcoffeehub.org,medium,0.4730716049671173,0.25486353039741516,0.6666666666666667,0.4648672772778405
bright coffee shop in neighborhood,brightcoffeehub.co,medium,0.5057563781738281,0.25486353039741516,0.6666666666666667,0.47576220168007743
bright coffee shop in neighborhood,brightcoffeesolutions.net,medium,0.4465739130973816,0.25486353039741516,0.6666666666666667,0.45603471828831565
dynamic pet store,dynamicpetstoreworks.org,simple,0.6015386581420898,0.06405872106552124,0.25,0.3051991214354833
dynamic pet store,dynamicpetstorelab.org,simple,0.5898966789245605,0.06405872106552124,0.25,0.3013184716304143
dynamic pet store,dynamicpetstorelab.com,simple,0.5625131726264954,0.06405872106552124,0.25,0.2921906312306722
global toy store in neighborhood,globaltoyshop.org,medium,0.5078281164169312,0.3305773437023163,0.6666666666666667,0.5016906989945306
global toy store in neighborhood,globaltoystore.io,medium,0.4191817343235016,0.3305773437023163,0.4,0.38325303097565966
global toy store in neighborhood,globaltoyhub.io,medium,0.3275303244590759,0.3305773437023163,0.6666666666666667,0.44159145487679374
quantum sphere consulting firm in city center for busy professionals,quantumspherestore.org,complex,0.49368125200271606,0.13484777510166168,0.8181818181818181,0.4822369583628394
quantum sphere consulting firm in city center for busy professionals,quantumsphereshop.io,complex,0.5431759357452393,0.13484777510166168,0.8181818181818181,0.4987351813099601
quantum sphere consulting firm in city center for busy professionals,quantumspherestore.co,complex,0.5062743425369263,0.13484777510166168,0.8181818181818181,0.4864346601746299
modern toy store in neighborhood,moderntoystorelab.org,medium,0.39224526286125183,0.13805760443210602,0.5,0.3434342841307322
modern toy store in neighborhood,moderntoystorestore.com,medium,0.4586675763130188,0.13805760443210602,0.875,0.49057505528132117
modern toy store in neighborhood,moderntoystorelab.io,medium,0.3419702649116516,0.13805760443210602,0.5,0.3266759614149729
atomic cafe,atomiccafestore.io,simple,0.5613660216331482,0.18865078687667847,0.33333333333333337,0.36111671394772
atomic cafe,atomiccafestore.org,simple,0.5595773458480835,0.18865078687667847,0.33333333333333337,0.36052050358719295
atomic cafe,atomiccafesolutions.org,simple,0.4924185574054718,0.18865078687667847,0.33333333333333337,0.3381342358059353
stellar cafe in neighborhood,stellarcafehub.co,medium,0.5574023127555847,0.13979117572307587,0.6,0.4323978394269943
stellar cafe in neighborhood,stellarcafehub.net,medium,0.46860814094543457,0.13979117572307587,0.6,0.40279978215694423
stellar cafe in neighborhood,stellarcafehub.com,medium,0.4781878590583801,0.13979117572307587,0.6,0.4059930264949798
stellar law firm in city center,stellarlawspot.net,medium,0.6310080289840698,0.19541357457637787,0.7142857142857143,0.5135691307839894
stellar law firm in city center,stellarlawlab.com,medium,0.6931480169296265,0.19541357457637787,0.7142857142857143,0.5342824600991749
stellar law firm in city center,stellarlawcorner.io,medium,0.6577677726745605,0.19541357457637787,0.7142857142857143,0.5224890254792713
